token_length,over_512,excess_tokens
2705,True,2193
651,True,139
795,True,283
970,True,458
828,True,316
54,False,0
263,False,0
1113,True,601
1128,True,616
700,True,188
413,False,0
405,False,0
342,False,0
410,False,0
758,True,246
657,True,145
729,True,217
91,False,0
1535,True,1023
1103,True,591
526,True,14
71,False,0
545,True,33
66,False,0
732,True,220
844,True,332
246,False,0
485,False,0
451,False,0
378,False,0
396,False,0
128,False,0
782,True,270
109,False,0
641,True,129
479,False,0
679,True,167
725,True,213
339,False,0
226,False,0
421,False,0
77,False,0
618,True,106
639,True,127
499,False,0
322,False,0
517,True,5
1177,True,665
493,False,0
457,False,0
764,True,252
372,False,0
346,False,0
557,True,45
168,False,0
119,False,0
378,False,0
914,True,402
413,False,0
553,True,41
136,False,0
40,False,0
1205,True,693
875,True,363
93,False,0
304,False,0
129,False,0
783,True,271
274,False,0
211,False,0
420,False,0
2057,True,1545
108,False,0
370,False,0
731,True,219
587,True,75
115,False,0
728,True,216
1021,True,509
78,False,0
527,True,15
147,False,0
503,False,0
397,False,0
529,True,17
271,False,0
528,True,16
112,False,0
498,False,0
1317,True,805
141,False,0
499,False,0
411,False,0
469,False,0
869,True,357
521,True,9
407,False,0
433,False,0
102,False,0
556,True,44
1275,True,763
396,False,0
3381,True,2869
1070,True,558
390,False,0
453,False,0
783,True,271
521,True,9
462,False,0
228,False,0
481,False,0
340,False,0
118,False,0
233,False,0
905,True,393
162,False,0
399,False,0
506,False,0
461,False,0
208,False,0
310,False,0
961,True,449
143,False,0
251,False,0
492,False,0
458,False,0
717,True,205
176,False,0
38,False,0
599,True,87
131,False,0
445,False,0
278,False,0
218,False,0
517,True,5
462,False,0
161,False,0
690,True,178
2063,True,1551
579,True,67
129,False,0
678,True,166
95,False,0
489,False,0
658,True,146
342,False,0
594,True,82
91,False,0
99,False,0
734,True,222
378,False,0
564,True,52
423,False,0
980,True,468
502,False,0
506,False,0
1266,True,754
335,False,0
336,False,0
473,False,0
779,True,267
362,False,0
381,False,0
353,False,0
663,True,151
493,False,0
276,False,0
482,False,0
844,True,332
113,False,0
679,True,167
202,False,0
402,False,0
525,True,13
132,False,0
584,True,72
484,False,0
159,False,0
238,False,0
977,True,465
267,False,0
451,False,0
774,True,262
536,True,24
572,True,60
1185,True,673
671,True,159
1454,True,942
217,False,0
522,True,10
672,True,160
194,False,0
286,False,0
984,True,472
885,True,373
558,True,46
427,False,0
113,False,0
495,False,0
590,True,78
346,False,0
1133,True,621
528,True,16
109,False,0
294,False,0
458,False,0
1080,True,568
603,True,91
539,True,27
99,False,0
240,False,0
170,False,0
544,True,32
712,True,200
130,False,0
958,True,446
135,False,0
52,False,0
1133,True,621
894,True,382
431,False,0
1318,True,806
912,True,400
155,False,0
612,True,100
214,False,0
115,False,0
175,False,0
442,False,0
228,False,0
156,False,0
1172,True,660
555,True,43
4216,True,3704
89,False,0
499,False,0
348,False,0
849,True,337
296,False,0
513,True,1
854,True,342
373,False,0
164,False,0
324,False,0
656,True,144
181,False,0
699,True,187
429,False,0
100,False,0
717,True,205
529,True,17
742,True,230
1117,True,605
344,False,0
552,True,40
383,False,0
451,False,0
605,True,93
589,True,77
114,False,0
986,True,474
454,False,0
246,False,0
816,True,304
539,True,27
29,False,0
533,True,21
901,True,389
1481,True,969
586,True,74
377,False,0
410,False,0
731,True,219
131,False,0
196,False,0
123,False,0
593,True,81
406,False,0
508,False,0
577,True,65
689,True,177
955,True,443
53,False,0
752,True,240
262,False,0
897,True,385
491,False,0
118,False,0
400,False,0
662,True,150
871,True,359
518,True,6
1526,True,1014
396,False,0
867,True,355
121,False,0
86,False,0
343,False,0
652,True,140
388,False,0
678,True,166
648,True,136
516,True,4
2414,True,1902
867,True,355
206,False,0
1328,True,816
163,False,0
52,False,0
606,True,94
630,True,118
312,False,0
68,False,0
544,True,32
383,False,0
240,False,0
511,False,0
87,False,0
536,True,24
842,True,330
479,False,0
209,False,0
388,False,0
378,False,0
1295,True,783
539,True,27
305,False,0
180,False,0
298,False,0
337,False,0
355,False,0
1490,True,978
522,True,10
1294,True,782
1129,True,617
933,True,421
113,False,0
511,False,0
1328,True,816
517,True,5
624,True,112
360,False,0
790,True,278
481,False,0
673,True,161
107,False,0
120,False,0
119,False,0
103,False,0
560,True,48
664,True,152
225,False,0
312,False,0
389,False,0
315,False,0
354,False,0
587,True,75
769,True,257
508,False,0
2132,True,1620
578,True,66
617,True,105
507,False,0
564,True,52
119,False,0
357,False,0
1077,True,565
484,False,0
629,True,117
480,False,0
976,True,464
44,False,0
1038,True,526
504,False,0
808,True,296
508,False,0
405,False,0
363,False,0
139,False,0
752,True,240
445,False,0
115,False,0
167,False,0
473,False,0
681,True,169
317,False,0
72,False,0
529,True,17
799,True,287
1008,True,496
94,False,0
409,False,0
605,True,93
321,False,0
87,False,0
413,False,0
325,False,0
474,False,0
475,False,0
465,False,0
144,False,0
629,True,117
407,False,0
1272,True,760
139,False,0
120,False,0
410,False,0
475,False,0
719,True,207
987,True,475
956,True,444
83,False,0
773,True,261
178,False,0
500,False,0
887,True,375
252,False,0
296,False,0
559,True,47
1009,True,497
620,True,108
669,True,157
383,False,0
73,False,0
162,False,0
946,True,434
960,True,448
326,False,0
419,False,0
368,False,0
452,False,0
422,False,0
63,False,0
676,True,164
324,False,0
102,False,0
697,True,185
853,True,341
485,False,0
147,False,0
1573,True,1061
456,False,0
187,False,0
492,False,0
532,True,20
401,False,0
291,False,0
402,False,0
906,True,394
1165,True,653
301,False,0
601,True,89
516,True,4
560,True,48
570,True,58
364,False,0
856,True,344
131,False,0
743,True,231
541,True,29
583,True,71
428,False,0
345,False,0
930,True,418
84,False,0
558,True,46
794,True,282
371,False,0
278,False,0
1152,True,640
867,True,355
45,False,0
1176,True,664
704,True,192
422,False,0
2377,True,1865
594,True,82
760,True,248
237,False,0
435,False,0
393,False,0
296,False,0
828,True,316
321,False,0
513,True,1
342,False,0
423,False,0
921,True,409
790,True,278
1789,True,1277
1340,True,828
987,True,475
521,True,9
290,False,0
466,False,0
413,False,0
1371,True,859
211,False,0
719,True,207
347,False,0
1114,True,602
148,False,0
416,False,0
334,False,0
93,False,0
1055,True,543
572,True,60
802,True,290
347,False,0
330,False,0
401,False,0
389,False,0
1790,True,1278
940,True,428
377,False,0
476,False,0
700,True,188
457,False,0
255,False,0
406,False,0
182,False,0
1301,True,789
473,False,0
775,True,263
314,False,0
439,False,0
296,False,0
486,False,0
515,True,3
426,False,0
323,False,0
490,False,0
1201,True,689
418,False,0
673,True,161
766,True,254
125,False,0
820,True,308
596,True,84
838,True,326
680,True,168
225,False,0
679,True,167
824,True,312
81,False,0
777,True,265
790,True,278
447,False,0
466,False,0
870,True,358
667,True,155
43,False,0
311,False,0
205,False,0
416,False,0
293,False,0
532,True,20
25,False,0
169,False,0
1151,True,639
165,False,0
543,True,31
546,True,34
2042,True,1530
308,False,0
285,False,0
116,False,0
311,False,0
449,False,0
444,False,0
145,False,0
383,False,0
108,False,0
828,True,316
70,False,0
908,True,396
495,False,0
1651,True,1139
93,False,0
1115,True,603
788,True,276
510,False,0
295,False,0
1023,True,511
25,False,0
631,True,119
688,True,176
499,False,0
321,False,0
693,True,181
329,False,0
142,False,0
131,False,0
402,False,0
1337,True,825
1072,True,560
292,False,0
353,False,0
524,True,12
495,False,0
1200,True,688
292,False,0
903,True,391
615,True,103
1402,True,890
83,False,0
394,False,0
434,False,0
789,True,277
596,True,84
646,True,134
1084,True,572
74,False,0
541,True,29
641,True,129
528,True,16
1144,True,632
674,True,162
514,True,2
617,True,105
259,False,0
408,False,0
721,True,209
1566,True,1054
400,False,0
426,False,0
184,False,0
1029,True,517
453,False,0
142,False,0
144,False,0
214,False,0
22,False,0
314,False,0
427,False,0
767,True,255
251,False,0
701,True,189
662,True,150
239,False,0
603,True,91
415,False,0
354,False,0
1185,True,673
616,True,104
1231,True,719
746,True,234
244,False,0
176,False,0
422,False,0
637,True,125
102,False,0
96,False,0
143,False,0
671,True,159
705,True,193
122,False,0
305,False,0
505,False,0
716,True,204
532,True,20
925,True,413
816,True,304
794,True,282
605,True,93
513,True,1
179,False,0
547,True,35
248,False,0
355,False,0
441,False,0
204,False,0
560,True,48
166,False,0
849,True,337
611,True,99
757,True,245
273,False,0
814,True,302
554,True,42
492,False,0
117,False,0
123,False,0
459,False,0
429,False,0
1109,True,597
449,False,0
333,False,0
422,False,0
664,True,152
604,True,92
635,True,123
734,True,222
137,False,0
747,True,235
660,True,148
725,True,213
43,False,0
753,True,241
516,True,4
151,False,0
638,True,126
614,True,102
519,True,7
288,False,0
69,False,0
583,True,71
946,True,434
144,False,0
461,False,0
383,False,0
388,False,0
282,False,0
542,True,30
109,False,0
500,False,0
176,False,0
935,True,423
1103,True,591
493,False,0
121,False,0
29,False,0
630,True,118
113,False,0
301,False,0
443,False,0
160,False,0
94,False,0
391,False,0
556,True,44
463,False,0
542,True,30
914,True,402
100,False,0
587,True,75
472,False,0
357,False,0
345,False,0
555,True,43
47,False,0
532,True,20
333,False,0
886,True,374
569,True,57
1128,True,616
933,True,421
264,False,0
640,True,128
808,True,296
328,False,0
69,False,0
640,True,128
1072,True,560
235,False,0
1561,True,1049
468,False,0
473,False,0
539,True,27
156,False,0
72,False,0
630,True,118
108,False,0
801,True,289
510,False,0
531,True,19
120,False,0
268,False,0
705,True,193
829,True,317
684,True,172
573,True,61
236,False,0
420,False,0
1139,True,627
739,True,227
605,True,93
494,False,0
215,False,0
830,True,318
590,True,78
403,False,0
22,False,0
499,False,0
369,False,0
527,True,15
352,False,0
575,True,63
1208,True,696
522,True,10
486,False,0
243,False,0
981,True,469
514,True,2
74,False,0
56,False,0
228,False,0
385,False,0
1006,True,494
426,False,0
215,False,0
468,False,0
253,False,0
414,False,0
68,False,0
683,True,171
753,True,241
402,False,0
655,True,143
719,True,207
974,True,462
380,False,0
50,False,0
605,True,93
989,True,477
1442,True,930
405,False,0
455,False,0
646,True,134
530,True,18
45,False,0
201,False,0
1066,True,554
349,False,0
292,False,0
898,True,386
1526,True,1014
589,True,77
602,True,90
1076,True,564
972,True,460
164,False,0
1089,True,577
462,False,0
356,False,0
31,False,0
636,True,124
489,False,0
430,False,0
366,False,0
339,False,0
466,False,0
527,True,15
232,False,0
558,True,46
362,False,0
1185,True,673
77,False,0
1795,True,1283
55,False,0
165,False,0
486,False,0
268,False,0
545,True,33
409,False,0
609,True,97
259,False,0
496,False,0
877,True,365
66,False,0
1193,True,681
507,False,0
509,False,0
162,False,0
654,True,142
177,False,0
925,True,413
402,False,0
740,True,228
458,False,0
1010,True,498
646,True,134
461,False,0
505,False,0
126,False,0
485,False,0
31,False,0
407,False,0
289,False,0
528,True,16
422,False,0
710,True,198
185,False,0
24,False,0
635,True,123
389,False,0
81,False,0
753,True,241
531,True,19
545,True,33
1159,True,647
398,False,0
476,False,0
386,False,0
840,True,328
173,False,0
380,False,0
474,False,0
444,False,0
522,True,10
273,False,0
546,True,34
508,False,0
514,True,2
229,False,0
664,True,152
389,False,0
155,False,0
513,True,1
147,False,0
110,False,0
429,False,0
199,False,0
522,True,10
650,True,138
1054,True,542
470,False,0
841,True,329
340,False,0
386,False,0
400,False,0
197,False,0
164,False,0
527,True,15
304,False,0
254,False,0
174,False,0
591,True,79
668,True,156
278,False,0
343,False,0
386,False,0
270,False,0
567,True,55
131,False,0
290,False,0
807,True,295
824,True,312
600,True,88
519,True,7
124,False,0
466,False,0
1324,True,812
102,False,0
552,True,40
236,False,0
554,True,42
455,False,0
427,False,0
61,False,0
513,True,1
413,False,0
100,False,0
487,False,0
345,False,0
396,False,0
110,False,0
287,False,0
115,False,0
401,False,0
756,True,244
1333,True,821
1184,True,672
413,False,0
752,True,240
318,False,0
450,False,0
137,False,0
210,False,0
591,True,79
1372,True,860
959,True,447
889,True,377
324,False,0
282,False,0
618,True,106
351,False,0
1030,True,518
534,True,22
403,False,0
425,False,0
803,True,291
1174,True,662
395,False,0
886,True,374
531,True,19
426,False,0
971,True,459
431,False,0
657,True,145
164,False,0
276,False,0
392,False,0
1188,True,676
105,False,0
420,False,0
383,False,0
492,False,0
652,True,140
936,True,424
577,True,65
1390,True,878
320,False,0
35,False,0
29,False,0
709,True,197
1051,True,539
106,False,0
151,False,0
1084,True,572
330,False,0
219,False,0
116,False,0
183,False,0
802,True,290
502,False,0
478,False,0
83,False,0
312,False,0
399,False,0
222,False,0
470,False,0
403,False,0
493,False,0
555,True,43
407,False,0
954,True,442
229,False,0
427,False,0
585,True,73
513,True,1
719,True,207
740,True,228
423,False,0
111,False,0
704,True,192
652,True,140
287,False,0
476,False,0
74,False,0
704,True,192
406,False,0
671,True,159
738,True,226
